ASKA_name,Ecocyc_name,Keio_name,Synonyms,Accession-2,Left-End-Position,Right-End-Position,Direction,Product,RegulonDB,UniProt,Gene products (polypeptides and RNAs only),"Genes of polypeptide, complex, or RNA",growth (LB),normalized to median growth (LB),growth (M9+amino acids),normalized to median growth (M9+amino acids),COG_0204,COG_1025,EntrezID,COG_1025,COG_1025,
ycgH,ycgH,ycgH,b1169 // b1170,ECK1157,1219601,1222248,+,"putative transporter component, N-terminal fragment",b1170,nan,"putative transporter component, N-terminal fragment",ycgH,0.446502561,0.986889967,0.298802827,0.987325577,nan,no COG,2847703,nan,nan,
thiS,thiS,thiS,thiG1,ECK3983,4192637,4192837,-,sulfur carrier protein ThiS,b4407,O32583,sulfur carrier protein ThiS,thiS,0.429370753,0.949024094,0.3062165,1.011822366,Coenzyme transport and metabolism,Coenzyme transport and metabolism,2847702,nan,nan,
hdfR,hdfR,hdfR,b3762 // yifA // yifD // b3763,ECK3756,3947128,3947967,-,DNA-binding transcriptional dual regulator HdfR,b4480,P0A8R9,DNA-binding transcriptional dual regulator HdfR,hdfR,0.525793813,1.16214482,0.227729999,0.752481678,Transcription,Transcription,2847698,nan,nan,
ygaX,ygaY,ygaX,ygaX // b2680 // ECK2675,ECK2674,2808316,2809493,+,"putative transporter YgaY, N-terminal fragment",b2681,P76628,"putative transporter YgaY, N-terminal fragment",ygaY,0.454583911,1.00475191,0.31622293,1.044886325,nan,no COG,2847696,nan,nan,
ygaY,ygaY,ygaX,ygaX // b2680 // ECK2675,ECK2674,2808316,2809493,+,"putative transporter YgaY, N-terminal fragment",b2681,P76628,"putative transporter YgaY, N-terminal fragment",ygaY,0.424453713,0.93815612,0.312429593,1.032352108,nan,no COG,2847696,nan,nan,
yghY,yghX,yghX,b2999 // yghY // b3000 // ECK2994 // orf_f136,ECK2993,3146856,3147691,-,putative hydrolase fragment,b2999,Q7DFU6,putative hydrolase fragment,yghX,0.478987368,1.05869007,0.332665718,1.099217755,nan,no COG,2847694,nan,nan,
cpxP,cpxP,cpxP,yiiO // b3913,ECK3906,4105820,4106320,+,periplasmic protein CpxP,b4484,P0AE85,periplasmic protein CpxP,cpxP,0.493414089,1.090576979,0.317444223,1.048921808,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,2847688,nan,nan,
yggP,yggP,yggP,b2931 // b2932,ECK2927,3076179,3077456,-,putative zinc-binding dehydrogenase YggP,b4465,P52048,putative zinc-binding dehydrogenase YggP,yggP,0.472556962,1.044477154,0.310456837,1.025833588,Amino acid transport and metabolism,Amino acid transport and metabolism,2847686,General function prediction only,nan,
blr,blr,blr,noSyn,ECK1620,1704551,1704676,+,&beta;-lactam resistance protein,b4409,P56976,&beta;-lactam resistance protein,blr,0.425619643,0.940733137,0.291072073,0.96178107,nan,no COG,2847682,nan,nan,
yigE,yigE,yigE,b3815 // b3814,ECK3809,4000292,4001056,-,DUF2233 domain-containing protein YigE,b4482,P27840,DUF2233 domain-containing protein YigE,yigE,0.451970944,0.998976554,0.310655475,1.026489942,Function unknown,Function unknown,2847679,nan,nan,
yifN,yifN,yifN,ECK3769 // yifO,ECK3768,3960012,3960460,-,putative toxin YifN,b3776,P56259,putative toxin YifN,yifN,0.437662842,0.967351827,0.295625439,0.976826628,nan,no COG,2847676,nan,nan,
yifO,yifN,yifN,ECK3769 // yifO,ECK3768,3960012,3960460,-,putative toxin YifN,b3776,P56259,putative toxin YifN,yifN,0.450422572,0.995554239,0.308246188,1.018529005,nan,no COG,2847676,nan,nan,
yjjZ,yjjZ,yjjZ,noSyn,ECK4358,4605804,4606040,+,DUF1435 domain-containing protein YjjZ,b4567,P55914,DUF1435 domain-containing protein YjjZ,yjjZ,0.489193261,1.08124782,0.319050992,1.054231007,nan,no COG,1450313,nan,nan,
yifL,yifL,yifL,noSyn,ECK3803,3994522,3994725,+,putative lipoprotein YifL,b4558,P0ADN6,putative lipoprotein YifL,yifL,0.419727828,0.927710653,0.30783202,1.017160481,Function unknown,Function unknown,1450304,nan,nan,
ysdC,glvG,glvG,b3681 (obsolete) // ECK3672 (obsolete) // ysdC // yidM,ECK3673,3861173,3861987,-,NA,b4556,nan,NA,nan,0.507900938,1.122596785,0.260347944,0.860260217,nan,no COG,1450301,nan,nan,
yicS,yicS,yicS,noSyn,ECK3652,3840215,3840508,+,uncharacterized protein YicS,b4555,Q2M7X4,uncharacterized protein YicS,yicS,0.509733753,1.126647796,0.33070962,1.092754276,nan,no COG,1450300,nan,nan,
yibT,yibT,yibT,noSyn,ECK3591,3776171,3776380,-,protein YibT,b4554,Q2M7R5,protein YibT,yibT,0.543042212,1.200268391,0.334195644,1.104273044,nan,no COG,1450299,nan,nan,
yjhX,topAI,yjhX,yjhX,ECK4298,4533796,4534053,-,"KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor",b4566,Q2EEU2,"KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor",topAI,0.490193182,1.083457914,0.322658925,1.066152596,Function unknown,Function unknown,1450297,nan,nan,
sgcB,sgcB,sgcB,noSyn,ECK4294,4530255,4530533,-,putative PTS enzyme IIB component SgcB,b4565,P58035,putative PTS enzyme IIB component SgcB,sgcB,0.4847965,1.071529803,0.318544663,1.05255796,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,1450295,nan,nan,
ysaB,ysaB,ysaB,noSyn,ECK3549,3725413,3725712,-,putative lipoprotein YsaB,b4553,Q2M7M3,putative lipoprotein YsaB,ysaB,0.487719024,1.077989363,0.293381012,0.96941043,nan,no COG,1450292,nan,nan,
yhdL,arfA,yhdL,yhdL,ECK3278,3438431,3438649,-,alternative ribosome-rescue factor A,b4550,P36675,alternative ribosome-rescue factor A,arfA,0.440045668,0.972618508,0.302865294,1.000749072,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,1450289,nan,nan,
ypjJ,ypjJ,ypjJ,noSyn,ECK2641,2776877,2777077,+,CP4-57 prophage; DUF987 domain-containing protein YpjJ,b4548,P58033,CP4-57 prophage; DUF987 domain-containing protein YpjJ,ypjJ,0.447061321,0.988124974,0.305827115,1.010535732,nan,no COG,1450287,nan,nan,
ypdJ,ypdJ,ypdJ,noSyn,ECK2358,2476094,2476234,+,CPS-53 (KpLE1) prophage; putative uncharacterized protein YpdJ,b4545,Q2EET0,CPS-53 (KpLE1) prophage; putative uncharacterized protein YpdJ,ypdJ,0.530276044,1.17205175,0.303293768,1.002164866,nan,no COG,1450283,nan,nan,
yfbW,arnE,yfbW,yfbW,ECK2251,2372557,2372892,+,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit,b4544,Q47377,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit,arnE,0.43931096,0.970994607,0.2945866,0.973394022,nan,no COG,1450282,nan,nan,
ypaA,ypaA,ypaA,noSyn,ECK2237,2357816,2358001,+,protein YpaA,b4543,V9HVX0,protein YpaA,ypaA,0.439455811,0.971314767,0.301246222,0.995399218,nan,no COG,1450280,nan,nan,
yohO,yohO,yohO,noSyn,ECK2120,2215657,2215764,+,UPF0387 family protein YohO,b4542,Q2EES6,UPF0387 family protein YohO,yohO,0.47866694,1.057981839,0.283253143,0.935945206,nan,no COG,1450279,nan,nan,
yoeB,yoeB,yoeB,noSyn,ECK2011,2089211,2089465,-,ribosome-dependent mRNA interferase toxin YoeB,b4539,P69348,ribosome-dependent mRNA interferase toxin YoeB,yoeB,0.468047941,1.034511014,0.302046751,0.998044382,Defense mechanisms,Defense mechanisms,1450274,nan,nan,
yoeF,yoeF,yoeF,noSyn,ECK2000,2078575,2078931,+,CP4-44 prophage; putative uncharacterized protein YoeF,b4538,Q2EES3,CP4-44 prophage; putative uncharacterized protein YoeF,yoeF,0.457926663,1.012140284,0.311959401,1.030798468,Amino acid transport and metabolism,Amino acid transport and metabolism,1450273,nan,nan,
yobH,yobH,yobH,noSyn,ECK1825,1908925,1909164,+,uncharacterized protein YobH,b4536,Q2MB16,uncharacterized protein YobH,yobH,0.416943317,0.921556139,0.268140345,0.886008422,nan,no COG,1450271,nan,nan,
yniD,yniD,yniD,noSyn,ECK1719,1805165,1805272,+,uncharacterized protein YniD,b4535,Q2EES1,uncharacterized protein YniD,yniD,0.40389537,0.89271669,0.305307665,1.008819326,nan,no COG,1450269,nan,nan,
yfcT,yfcU,yfcT,ECK2331 // yfcT // b2338 // b2337,ECK2332,2452356,2455001,-,putative outer membrane usher protein YfcU,b2337,P77196,putative outer membrane usher protein YfcU,yfcU,0.44741746,0.988912138,0.305637572,1.009909428,nan,no COG,1450268,nan,nan,
yfcU,yfcU,yfcT,ECK2331 // yfcT // b2338 // b2337,ECK2332,2452356,2455001,-,putative outer membrane usher protein YfcU,b2337,P77196,putative outer membrane usher protein YfcU,yfcU,0.452856517,1.000933906,0.29977549,0.990539522,nan,no COG,1450268,nan,nan,
ynfO,ynfO,ynfO,noSyn,ECK1542,1636756,1636989,+,Qin prophage; DUF3950 domain-containing protein YnfO,b4533,Q2EES0,Qin prophage; DUF3950 domain-containing protein YnfO,ynfO,0.441505381,0.975844863,0.297541807,0.983158827,nan,no COG,1450267,nan,nan,
ycgI,ycgI,ycgI,ymgH // b1173 // ECK1160,ECK1161,1223564,1223907,+,protein YcgI,b4521,P76000,protein YcgI,ycgI,0.410852741,0.908094339,0.285440949,0.943174308,nan,no COG,1450255,nan,nan,
ymgH,ycgI,ycgI,ymgH // b1173 // ECK1160,ECK1161,1223564,1223907,+,protein YcgI,b4521,P76000,protein YcgI,ycgI,0.41131165,0.909108651,0.2946669,0.973659354,nan,no COG,1450255,nan,nan,
ymgF,ymgF,ymgF,noSyn,ECK1156,1218983,1219201,+,inner membrane protein YmgF,b4520,P58034,inner membrane protein YmgF,ymgF,0.418104921,0.924123595,0.286286958,0.945969754,nan,no COG,1450253,nan,nan,
ybgT,cydX,ybgT,ybgT,ECK0723,774196,774309,+,cytochrome <i>bd</i>-I ubiquinol oxidase accessory subunit CydX,b4515,P56100,cytochrome <i>bd</i>-I ubiquinol oxidase accessory subunit CydX,cydX,0.219023368,0.484100166,0.063953995,0.211321344,Function unknown,Function unknown,1450246,nan,nan,
ybfQ,ybfQ,ybfQ,noSyn,ECK0693,736445,736699,+,inactive transposase YbfQ,b4514,Q2EEQ8,inactive transposase YbfQ,ybfQ,0.448095863,0.990411591,0.294709379,0.973799715,"Mobilome: prophages, transposons",Mobilome: prophages and transposons,1450245,nan,nan,
ybdZ,ybdZ,ybdZ,noSyn,ECK0578,613942,614160,+,enterobactin biosynthesis protein YbdZ,b4511,P18393,enterobactin biosynthesis protein YbdZ,ybdZ,0.455783509,1.007403341,0.304725903,1.006897028,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites biosynthesis and transport and catabolism,1450243,nan,nan,
rzoD,rzoD,rzoD,noSyn,ECK0548,578327,578509,+,DLP12 prophage; putative prophage lysis lipoprotein RzoD,b4510,P58041,DLP12 prophage; putative prophage lysis lipoprotein RzoD,rzoD,0.49353312,1.090840068,0.30645024,1.012594706,nan,no COG,1450242,nan,nan,
ylcG,ylcG,ylcG,noSyn,ECK0542,573730,573870,+,DLP12 prophage; uncharacterized protein YlcG,b4509,Q47272,DLP12 prophage; uncharacterized protein YlcG,ylcG,0.533815298,1.179874445,0.308615414,1.019749028,nan,no COG,1450240,nan,nan,
ykgN,insX,ykgN,ykgN // ECK0266,ECK4473,280114,280362,-,NA,b4505,nan,NA,nan,0.476415091,1.05300465,0.27988008,0.924799689,nan,no COG,1450237,nan,nan,
ykfH,ykfH,ykfH,noSyn,ECK0248,264026,264247,-,DUF987 domain-containing protein YkfH,b4504,Q9XB42,DUF987 domain-containing protein YkfH,ykfH,0.449967002,0.994547308,0.31379354,1.036858961,nan,no COG,1450236,nan,nan,
yaeP,yaeP,yaeP,noSyn,ECK0189,213925,214125,-,PF06786 family protein YaeP,b4406,P0A8K5,PF06786 family protein YaeP,yaeP,0.438404888,0.968991945,0.295443874,0.976226685,nan,no COG,1450233,nan,nan,
torI,torI,torI,noSyn,ECK2359,2476310,2476510,+,CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor,b4501,Q2EES9,CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor,torI,0.458165942,1.012669154,0.311298426,1.028614427,Transcription,Transcription,1450232,Mobilome: prophages and transposons,nan,
yajB,acpH,yajB,yajB,ECK0398,424337,424918,-,acyl carrier protein phosphodiesterase,b0404,P21515,acyl carrier protein phosphodiesterase,acpH,0.458849991,1.014181086,0.306706908,1.013442805,Lipid transport and metabolism,Lipid transport and metabolism,949132,nan,nan,
malZ,malZ,malZ,noSyn,ECK0397,422518,424332,+,maltodextrin glucosidase,b0403,P21517,maltodextrin glucosidase,malZ,0.488678122,1.080109226,0.29910975,0.988339733,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,949131,nan,nan,
tgt,tgt,tgt,vacC(S.f.),ECK0400,426137,427264,+,tRNA-guanine transglycosylase,b0406,P0A847,tRNA-guanine transglycosylase,tgt,0.457973086,1.012242891,0.31519332,1.041484213,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,949130,nan,nan,
yaaY,yaaY,yaaY,noSyn,ECK0025,21181,21399,+,DUF2575 domain-containing protein YaaY,b0024,P75620,DUF2575 domain-containing protein YaaY,yaaY,0.415419124,0.918187265,0.224091683,0.740459697,nan,no COG,949128,nan,nan,
yohJ,yohJ,yohJ,noSyn,ECK2134,2230624,2231022,+,putative 3-hydroxypropanoate export protein YohJ,b2141,P60632,putative 3-hydroxypropanoate export protein YohJ,yohJ,0.425378201,0.940199486,0.307655558,1.016577403,General function prediction only,General function prediction only,949127,nan,nan,
yohF,yohF,yohF,yohE,ECK2130,2226509,2227270,-,putative oxidoreductase YohF,b2137,P33368,putative oxidoreductase YohF,yohF,0.438026985,0.96815668,0.306753688,1.013597378,Lipid transport and metabolism,Lipid transport and metabolism,949126,nan,nan,
yohK,yohK,yohK,noSyn,ECK2135,2231019,2231714,+,putative 3-hydroxypropanoate export protein YohK,b2142,P0AD19,putative 3-hydroxypropanoate export protein YohK,yohK,0.452338245,0.999788387,0.297658808,0.983545428,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,949125,nan,nan,
yohG,mdtQ,yohG,yohH // yohG // b2138 // ECK2132,ECK2131,2227323,2228758,-,putative multidrug resistance outer membrane protein MdtQ,b2139,P33369,putative multidrug resistance outer membrane protein MdtQ,mdtQ,0.435540379,0.962660615,0.294330898,0.972549112,nan,no COG,949123,nan,nan,
yohH,mdtQ,yohG,yohH // yohG // b2138 // ECK2132,ECK2131,2227323,2228758,-,putative multidrug resistance outer membrane protein MdtQ,b2139,P33369,putative multidrug resistance outer membrane protein MdtQ,mdtQ,0.427304028,0.944456078,0.300759575,0.993791205,nan,no COG,949123,nan,nan,
mcrB,mcrB,mcrB,rglB,ECK4336,4577958,4579337,-,McrB<sub>S</sub> // 5-methylcytosine-specific restriction enzyme subunit McrB,b4346,P15005-2 // P15005,McrB<sub>S</sub> // 5-methylcytosine-specific restriction enzyme subunit McrB,mcrB,0.461455081,1.019939032,0.306079575,1.011369926,Defense mechanisms,Defense mechanisms,949122,nan,nan,
csgD,csgD,csgD,noSyn,ECK1026,1102546,1103196,-,DNA-binding transcriptional dual regulator CsgD,b1040,P52106,DNA-binding transcriptional dual regulator CsgD,csgD,0.425824058,0.94118495,0.294622312,0.973512023,Transcription,Transcription,949119,Signal transduction mechanisms,nan,
ymcC,gfcB,ymcC,ymcC,ECK0977,1048688,1049332,-,lipoprotein GfcB,b0986,P75884,lipoprotein GfcB,gfcB,0.415681198,0.918766519,0.28988412,0.957855752,nan,no COG,949118,nan,nan,
yhbU,ubiU,yhbU,yhbU,ECK3146,3301485,3302480,+,ubiquinone biosynthesis protein UbiU,b3158,P45527,ubiquinone biosynthesis protein UbiU,ubiU,0.452829244,1.000873627,0.309207085,1.021704069,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,949115,nan,nan,
envY,envY,envY,noSyn,ECK0558,586147,586908,-,DNA-binding transcriptional activator EnvY,b0566,P10805,DNA-binding transcriptional activator EnvY,envY,0.489948702,1.082917548,0.316029223,1.044246264,Transcription,Transcription,949114,nan,nan,
yaeB,trmO,yaeB,tsaA // yaeB,ECK0195,218887,219594,-,tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase,b0195,P28634,tRNA m<sup>6</sup>t<sup>6</sup>A37 methyltransferase,trmO,0.415999017,0.919468983,0.298037914,0.984798099,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,949112,nan,nan,
ypdG,fryC,ypdG,ypdG,ECK2382,2506647,2507894,-,putative PTS enzyme IIC component FryC,b2386,P77579,putative PTS enzyme IIC component FryC,fryC,0.447857454,0.989884643,0.310962749,1.027505258,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,949111,nan,nan,
yfdV,yfdV,yfdV,noSyn,ECK2368,2489242,2490186,-,putative transport protein YfdV,b2372,P0AA49,putative transport protein YfdV,yfdV,0.460188969,1.017140585,0.316635117,1.046248301,General function prediction only,General function prediction only,949110,nan,nan,
yfcV,yfcV,yfcV,noSyn,ECK2333,2455083,2455646,-,putative fimbrial protein YfcV,b2339,P77288,putative fimbrial protein YfcV,yfcV,0.476328381,1.052812999,0.292339703,0.965969663,Cell motility,Cell motility,949109,nan,nan,
yfdX,yfdX,yfdX,noSyn,ECK2371,2493767,2494402,-,protein YfdX,b2375,P76520,protein YfdX,yfdX,0.485964246,1.074110834,0.318598489,1.052735814,nan,no COG,949108,nan,nan,
ypdI,ypdI,ypdI,noSyn,ECK2372,2494698,2494973,+,colanic acid synthesis putative lipoprotein YpdI,b2376,O32528,colanic acid synthesis putative lipoprotein YpdI,ypdI,0.442305194,0.977612663,0.296193914,0.978705023,nan,no COG,949107,nan,nan,
yjhT,noSynM,yjhT,yjhT,ECK4301,4537659,4538765,-,<i>N</i>-acetylneuraminate mutarotase,b4310,P39371,<i>N</i>-acetylneuraminate mutarotase,nanM,0.503332065,1.112498355,0.329665995,1.089305856,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,949106,nan,nan,
yecS,tcyL,yecS,yecS,ECK1917,1997811,1998479,-,cystine ABC transporter membrane subunit,b1918,P0AFT2,cystine ABC transporter membrane subunit,tcyL,0.421366767,0.931333145,0.30492198,1.00754492,Amino acid transport and metabolism,Amino acid transport and metabolism,949105,nan,nan,
fecR,fecR,fecR,noSyn,ECK4282,4516764,4517717,-,ferric citrate regulator FecR,b4292,P23485,ferric citrate regulator FecR,fecR,0.499295604,1.103576698,0.318271186,1.051654317,Signal transduction mechanisms,Signal transduction mechanisms,949104,Inorganic ion transport and metabolism,nan,
dsdX,dsdX,dsdX,yfdD // yfdA // dsdC,ECK2361,2477847,2479184,+,D-serine transporter,b2365,P08555,D-serine transporter,dsdX,0.451303751,0.997501879,0.307025638,1.014495976,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,949103,nan,nan,
fliC,fliC,fliC,H // flaF // hag,ECK1922,2002110,2003606,-,flagellar filament structural protein,b1923,P04949,flagellar filament structural protein,fliC,0.411231128,0.908930676,0.304086416,1.004783988,Cell motility,Cell motility,949101,nan,nan,
yjhI,yjhI,yjhI,noSyn,ECK4288,4525015,4525803,-,KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI,b4299,P39360,KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhI,yjhI,0.486116993,1.074448446,0.32309023,1.067577743,Transcription,Transcription,949100,nan,nan,
yfdL,yfdL,yfdL,noSyn,ECK2349,2471544,2472062,-,CPS-53 (KpLE1) prophage; putative uncharacterized protein YfdL,b2355,P76508,CPS-53 (KpLE1) prophage; putative uncharacterized protein YfdL,yfdL,0.449420786,0.993340024,0.301061383,0.99478846,nan,no COG,949099,nan,nan,
yfdH,yfdH,yfdH,gtrB,ECK2345,2468214,2469134,+,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,b2351,P77293,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,yfdH,0.491222494,1.085732967,0.316500579,1.04580375,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,949098,nan,nan,
yfcX,fadJ,yfcX,yfcX,ECK2335,2457015,2459159,-,3-hydroxyacyl-CoA dehydrogenase FadJ,b2341,P77399,3-hydroxyacyl-CoA dehydrogenase FadJ,fadJ,0.468498663,1.03550723,0.290291567,0.959202067,Lipid transport and metabolism,Lipid transport and metabolism,949097,nan,nan,
folM,folM,folM,ydgB,ECK1601,1680976,1681698,+,dihydromonapterin reductase,b1606,P0AFS3,dihydromonapterin reductase,folM,0.441513482,0.975862768,0.284323409,0.939481656,Lipid transport and metabolism,Lipid transport and metabolism,949096,nan,nan,
hupB,hupB,hupB,dpeA // dbhB // hopD,ECK0434,461451,461723,+,DNA-binding protein HU-&beta;,b0440,P0ACF4,DNA-binding protein HU-&beta;,hupB,0.490797861,1.084794414,0.31962271,1.056120118,"Replication, recombination and repair",Replication and recombination and repair,949095,nan,nan,
yagJ,yagJ,yagJ,noSyn,ECK0275,291500,292231,+,CP4-6 prophage; protein YagJ,b0276,P77169,CP4-6 prophage; protein YagJ,yagJ,0.503073242,1.111926287,0.30005524,0.991463889,nan,no COG,949094,nan,nan,
endA,endA,endA,noSyn,ECK2940,3090347,3091054,+,DNA-specific endonuclease I,b2945,P25736,DNA-specific endonuclease I,endA,0.488120703,1.07887718,0.303693953,1.003487185,"Replication, recombination and repair",Replication and recombination and repair,949092,nan,nan,
yjiX,yjiX,yjiX,noSyn,ECK4343,4588876,4589079,-,PF04328 family protein YjiX,b4353,P0ADC8,PF04328 family protein YjiX,yjiX,0.474896669,1.049648531,0.320503903,1.059031818,Function unknown,Function unknown,949090,nan,nan,
yjiR,yjiR,yjiR,noSyn,ECK4331,4570162,4571574,-,fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,b4340,P39389,fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,yjiR,0.510795845,1.128995303,0.318414616,1.052128249,Transcription,Transcription,949089,Amino acid transport and metabolism,nan,
ypdH,fryB,ypdH,ypdH,ECK2383,2507916,2508242,-,putative PTS enzyme IIB component FryB,b2387,P69808,putative PTS enzyme IIB component FryB,fryB,0.454180262,1.003859736,0.298701614,0.986991142,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,949087,nan,nan,
mak,mak,mak,yajF,ECK0389,410144,411052,+,fructokinase,b0394,P23917,fructokinase,mak,0.469805922,1.038396622,0.316113722,1.044525471,Transcription,Transcription,949086,Carbohydrate transport and metabolism,nan,
yciI,yciI,yciI,noSyn,ECK1245,1310569,1310865,-,protein YciI,b1251,P0AB55,protein YciI,yciI,0.405953656,0.897266052,0.27863128,0.920673315,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites biosynthesis and transport and catabolism,949085,General function prediction only,nan,
citX,citX,citX,ybdU,ECK0607,647484,648035,-,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,b0614,P0A6G5,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,citX,0.454200947,1.003905457,0.301833329,0.997339177,Coenzyme transport and metabolism,Coenzyme transport and metabolism,949084,Lipid transport and metabolism,nan,
yedD,yedD,yedD,noSyn,ECK1927,2007677,2008090,-,lipoprotein YedD,b1928,P31063,lipoprotein YedD,yedD,0.436312453,0.964367105,0.300105637,0.991630416,nan,no COG,949082,nan,nan,
yohN,rcnB,yohN,yohN,ECK2100,2186960,2187298,+,periplasmic protein involved in nickel/cobalt export,b2107,P64534,periplasmic protein involved in nickel/cobalt export,rcnB,0.452732054,1.000658812,0.297941953,0.984481016,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,949080,nan,nan,
xdhD,xdhD,xdhD,ygfN,ECK2877,3021316,3024186,+,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit,b2881,Q46814,fused putative xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit,xdhD,0.492958526,1.089570062,0.305436789,1.009245988,Energy production and conversion,Energy production and conversion,949079,nan,nan,
yohM,rcnA,yohM,yohM,ECK2099,2185917,2186741,+,Ni<sup>2+</sup>/Co<sup>2+</sup> exporter,b2106,P76425,Ni<sup>2+</sup>/Co<sup>2+</sup> exporter,rcnA,0.438370663,0.968916299,0.313294353,1.035209509,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,949078,nan,nan,
araJ,araJ,araJ,araT,ECK0390,411297,412481,-,putative transport protein AraJ,b0396,P23910,putative transport protein AraJ,araJ,0.465025532,1.027830683,0.312106503,1.03128453,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,949077,nan,nan,
sbcC,sbcC,sbcC,noSyn,ECK0391,412607,415753,-,ATP-dependent structure-specific DNA nuclease - SbcC subunit,b0397,P13458,ATP-dependent structure-specific DNA nuclease - SbcC subunit,sbcC,0.455830273,1.007506703,0.32365886,1.069456653,"Replication, recombination and repair",Replication and recombination and repair,949076,nan,nan,
ygfO,xanQ,ygfO,ygfO,ECK2878,3024351,3025751,+,xanthine:H+ symporter XanQ,b2882,P67444,xanthine:H+ symporter XanQ,xanQ,0.47291682,1.045272538,0.306754463,1.01359994,Nucleotide transport and metabolism,Nucleotide transport and metabolism,949075,nan,nan,
ccmG,ccmG,ccmG,yejQ // dsbE,ECK2187,2292407,2292964,-,thiol:disulfide oxidoreductase CcmG,b2195,P0AA86,thiol:disulfide oxidoreductase CcmG,ccmG,0.418100349,0.924113488,0.318111155,1.05112553,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,949073,nan,nan,
ssnA,ssnA,ssnA,ygfL,ECK2875,3019161,3020489,+,putative aminohydrolase SsnA,b2879,Q46812,putative aminohydrolase SsnA,ssnA,0.492245941,1.087995059,0.29009104,0.958539473,Nucleotide transport and metabolism,Nucleotide transport and metabolism,949072,General function prediction only,nan,
ygfM,ygfM,ygfM,noSyn,ECK2876,3020540,3021319,+,putative oxidoreductase,b2880,P64557,putative oxidoreductase,ygfM,0.484436084,1.070733189,0.301557273,0.996427015,Energy production and conversion,Energy production and conversion,949071,nan,nan,
citT,citT,citT,ybdS,ECK0605,645117,646580,-,citrate:succinate antiporter,b0612,P0AE74,citrate:succinate antiporter,citT,0.480930096,1.062984019,0.299300751,0.988970854,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,949070,nan,nan,
ybdR,ybdR,ybdR,noSyn,ECK0602,642088,643326,+,putative Zn<sup>2+</sup>-dependent alcohol dehydrogenase YbdR,b0608,P77316,putative Zn<sup>2+</sup>-dependent alcohol dehydrogenase YbdR,ybdR,0.476638888,1.053499302,0.302843799,1.000678045,Amino acid transport and metabolism,Amino acid transport and metabolism,949067,General function prediction only,nan,
artM,artM,artM,noSyn,ECK0852,900866,901534,-,L-arginine ABC transporter membrane subunit ArtM,b0861,P0AE30,L-arginine ABC transporter membrane subunit ArtM,artM,0.448350601,0.990974628,0.278705573,0.920918802,Amino acid transport and metabolism,Amino acid transport and metabolism,949066,nan,nan,
rna,RNA,rna,noSyn,nan,nan,nan,nan,NA,nan,nan,NA,nan,0.47130297,1.041705497,0.311686239,1.029895866,nan,Translation and ribosomal structure and biogenesis,949065,nan,nan,
caiA,caiA,caiA,yaaO,ECK0040,39244,40386,-,crotonobetainyl-CoA reductase,b0039,P60584,crotonobetainyl-CoA reductase,caiA,0.449467888,0.993444131,0.293552701,0.969977737,Lipid transport and metabolism,Lipid transport and metabolism,949064,nan,nan,
